Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Middlemount QGAP,Middlemount Shopping Centre:registration; pre-registration inspections,registration; pre-registration inspections,,Middlemount Shopping Centre,Middlemount,4746,,PO Box 168,Middlemount,4746,-22.809877,148.699632,(07) 4985 7255,(07) 4981 2888,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration inspections for light vehicles only",,, Next to IGA Shopping Centre,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Middlemount QGAP
Miles QGAP,32 Constance Street:driver licence; boat licence; registration; practical driver tests; industry licensing; pre-registration inspections,driver licence; boat licence; registration; practical driver tests; industry licensing; pre-registration inspections,,32 Constance Street,Miles,4415,Miles Police Station,PO Box 143,Miles,4415,-26.65735,150.185788,(07) 4627 1177,(07) 4627 1957,,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  practical driver testing
*  industry licensing services
*  pre-registration inspections all vehicle types in fine weather only",,, Opposite Miles Primary School,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Miles QGAP
Millmerran Police Station,16 Walpole Street:,,,16 Walpole Street,Millmerran,4357,,PO Box 98,Millmerran,4357,-27.872209,151.273095,(07) 4695 1220,(07) 4695 1084,,8:30,13:00,8:30,13:00,8:30,13:00,8:30,13:00,,,,,,,,"####Services offered at this location
* driver licensing
* practical driver testing
* registration of vehicles and vessels",,,,,Please contact the centre to make sure it is staffed before travelling here. Services available by appointment only.,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Millmerran Police Station
Mirani QGAP,20 Victoria Street :registration; pre-registration inspections,registration; pre-registration inspections,,20 Victoria Street ,Mirani,4754,,PO Box 41,Mackay,4740,-21.15982,148.863497,(07) 4961 9210,(07) 4959 1275,,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration for light vehicles and trailers up to 4.5 tonne in fine weather only",, New business registration is done by appointment only and is not available between noon and 13:30.,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Mirani QGAP
Miriam Vale Police Station,31 Roe Street:driver licence; registration,driver licence; registration,,31 Roe Street,Miriam Vale,4677,,PO Box 7,Miriam Vale,4677,-24.3285,151.559852,(07) 49746000,(07) 4974 5395,,,,8:30,12:00,8:30,12:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ", Appointments are required for written tests and new registrations. Other transactions are performed during office hours.,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Miriam Vale Police Station
Mitchell QGAP,Cnr Mary & Dublin Streets:driver licence; boat licence; registration; practical driver tests; industry licensing; pre-registration inspections ,driver licence; boat licence; registration; practical driver tests; industry licensing; pre-registration inspections ,,Mitchell Courthouse Cnr Mary & Dublin Streets,Mitchell,4465,,PO Box 41,Mitchell,4465,-26.488341,147.977751,(07) 4623 1106,(07) 4623 1510,,9:00-12:30,13:30-16:00,9:00-12:30,13:30-16:00,9:30-12:30,13:30-16:00,9:00-12:30,13:30-16:00,9:00-12:30,13:30-16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  practical driver testing
*  industry licensing services
*  pre-registration inspections for all vehicle types",, Practical driving tests are conducted once a month.,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,m,,/transport/contacts/centres/view?title=Mitchell QGAP
Monto Police Station,2 Lyell Street:driver licence; practical driver tests ,driver licence; practical driver tests ,,2 Lyell Street,Monto,4630,,PO Box 88,Monto,4630,-24.864711,151.124909,(07) 4166 1211,(07) 4166 3989,,8:30,12:30,,,,,8:30,12:30,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Around the corner from Monto Council Chambers,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Monto Police Station
Monto QGAP,53 Newton Street:registration; industry licensing; boat licence,registration; industry licensing; boat licence,,53 Newton Street,Monto,4630,,PO Box 210,Monto,4630,-24.864916,151.124572,(07) 4166 1350,(07) 4166 1047,,9:30,16:30,9:30,16:30,9:30,16:30,9:30,16:30,9:30,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  industry licensing services
*  boat licensing",,, Adjacent to Monto Council Administration Centre,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Monto QGAP
Moranbah QGAP,21 Griffin Street:registration; pre-registration inspections,registration; pre-registration inspections,,Moranbah Courthouse 21 Griffin Street,Moranbah,4744,,PO Box 41,Moranbah,4744,-21.999938,148.045197,(07) 4941 7633 or 13 23 90 (for practical driving test bookings),(07) 4941 5743,,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* registration of vehicles and vessels
* boat licensing
*  pre-registration inspections light vehicles only in fine weather",,, ,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,QGAP (TMR lead),17/07/2018,m,,/transport/contacts/centres/view?title=Moranbah QGAP
Mornington Island Police Station,"Marn Marn Katha Street
:driver licence; practical driver tests; pre-registraion inspections; registration",driver licence; practical driver tests; pre-registraion inspections; registration,,"Marn Marn Katha Street
",Mornington Island,4871,,Marn Marn Katha Street,Mornington Island,4871,-16.66483,139.183943,(07) 4747 9090,(07) 4745 7227,,9:00,12:00,9:00,12:00,9:00,12:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles only
*  pre-registraion inspections
*  registration of vehicles and vessels",,,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Mornington Island Police Station
Morven Police Station,Eurella Street:driver licence; boat licence; practical driver tests; registration; pre-registration inspections ,driver licence; boat licence; practical driver tests; registration; pre-registration inspections ,,Eurella Street,Morven,4468,,PO Box 41,Morven,4468,-26.415383,147.112565,(07) 4654 8100,(07) 4654 8295,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*    practical driver testing
*  registration of vehicles and vessels
*  pre-registration inspections for light vehicles and trailers",, Services are available by appointment only.,,,Please contact this location for operating times,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Morven Police Station
Mossman QGAP,27 Front Street:registration; boat licence; industry licensing; driver authorisation; operator accreditation,registration; boat licence; industry licensing; driver authorisation; operator accreditation,,Mossman Courthouse 27 Front Street,Mossman,4873,,PO Box 103,Mossman,4873,-16.461076,145.373327,(07) 4098 1500,(07) 4098 2207,,8:30-13:00,14:00-16:30,9:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,8:30-13:00,14:00-16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing
* boat licensing
* industry licensing services
* practical driver testing up to heavy combination class (except motorcycles)
* assistance with driver authorisation and operator accreditation
",,, Opposite Australia Post,,This office may be closed between 1 and 2pm. Please note: No new vehicle registrations are conducted on Wednesdays.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,m,,/transport/contacts/centres/view?title=Mossman QGAP
Mount Garnet Police Station,Agate St and Kennedy Hwy:,,,Agate St and Kennedy Hwy,Mount Garnet,4872,,Agate St and Kennedy Hwy,Mount Garnet,4872,-17.679114,145.120401,(07) 4097 9120,(07) 4097 9036,,,,,,,,,,,,,,,,,,,,,,Please contact this location for operating times and services offered,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Mount Garnet Police Station
Mount Isa Transport and Main Roads Customer Service Centre,"29 Simpson St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",Isa Square Complex,27 Simpson St,Mount Isa,4825,,PO Box 1331,Mount Isa DC,4825,-20.72551282,139.4941214,13 23 80,(07) 4743 6120,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  practical driver testing for all licence classes (except motorcycles)
*  this centre conducts pre-registration inspections for light vehicles less than 4.5 tonnes in fine weather only ","####Services not offered at this location#### 
* pre-registration inspections for trailers
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,m,,/transport/contacts/centres/view?title=Mount Isa Transport and Main Roads Customer Service Centre
Mount Isa Motor Vehicle Inspection Centre,"17 Enterprise Rd Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,17 Enterprise Road,Mount Isa,4825,,Locked Mail Bag 80,Mount Isa,4825,-20.703725,139.503124,13 23 90,(07) 4743 0374,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed at Approved Inspection Stations ",,,,Please contact this location for operating times. ,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,m,,/transport/contacts/centres/view?title=Mount Isa Motor Vehicle Inspection Centre
Mount Larcom Police Station,Gladstone Street:driver licence; registration,driver licence; registration,,Gladstone Street,Mount Larcom,4695,,Gladstone Street,Mount Larcom,4695,-23.812498,150.980429,(07) 4975 1102,(07) 4975 1029,,9:00,12:00,,,,,,,13:00,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Mount Larcom Police Station
Mount Morgan QGAP,32 Hall St:registration; pre-registration inspections,registration; pre-registration inspections,,32 Hall St,Mount Morgan,4714,,PO Box 1 860,Rockhampton,4700,-23.648146,150.388163,(07) 4938 1359,,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration inspections for light vehicles","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Mount Morgan QGAP
